agency_cd,site_no,date,gage_height_ft
USGS,11450000,1999-01-01,3.82
USGS,11450000,1999-01-02,3.83
USGS,11450000,1999-01-03,3.83
USGS,11450000,1999-01-04,3.83
USGS,11450000,1999-01-05,3.83
USGS,11450000,1999-01-06,3.83
USGS,11450000,1999-01-07,3.84
USGS,11450000,1999-01-08,3.84
USGS,11450000,1999-01-09,3.84
USGS,11450000,1999-01-10,3.84
USGS,11450000,1999-01-11,3.84
USGS,11450000,1999-01-12,3.84
USGS,11450000,1999-01-13,3.85
USGS,11450000,1999-01-14,3.85
USGS,11450000,1999-01-15,3.87
USGS,11450000,1999-01-16,3.9
USGS,11450000,1999-01-17,3.95
USGS,11450000,1999-01-18,3.97
USGS,11450000,1999-01-19,4.03
USGS,11450000,1999-01-20,4.14
USGS,11450000,1999-01-21,4.22
USGS,11450000,1999-01-22,4.29
USGS,11450000,1999-01-23,4.4
USGS,11450000,1999-01-24,4.51
USGS,11450000,1999-01-25,4.54
USGS,11450000,1999-01-26,4.6
USGS,11450000,1999-01-27,4.62
USGS,11450000,1999-01-28,4.64
USGS,11450000,1999-01-29,4.67
USGS,11450000,1999-01-30,4.69
USGS,11450000,1999-01-31,4.7
USGS,11450000,1999-02-01,4.72
USGS,11450000,1999-02-02,4.74
USGS,11450000,1999-02-03,4.75
USGS,11450000,1999-02-04,4.75
USGS,11450000,1999-02-05,4.76
USGS,11450000,1999-02-06,4.83
USGS,11450000,1999-02-07,5.07
USGS,11450000,1999-02-08,5.32
USGS,11450000,1999-02-09,5.72
USGS,11450000,1999-02-10,6.07
USGS,11450000,1999-02-11,6.23
USGS,11450000,1999-02-12,6.32
USGS,11450000,1999-02-13,6.35
USGS,11450000,1999-02-14,6.41
USGS,11450000,1999-02-15,6.44
USGS,11450000,1999-02-16,6.61
USGS,11450000,1999-02-17,6.92
USGS,11450000,1999-02-18,7.05
USGS,11450000,1999-02-19,7.14
USGS,11450000,1999-02-20,7.17
USGS,11450000,1999-02-21,7.27
USGS,11450000,1999-02-22,7.33
USGS,11450000,1999-02-23,7.34
USGS,11450000,1999-02-24,7.34
USGS,11450000,1999-02-25,7.43
USGS,11450000,1999-02-26,7.47
USGS,11450000,1999-02-27,7.46
USGS,11450000,1999-02-28,7.47
USGS,11450000,1999-03-01,7.49
USGS,11450000,1999-03-02,7.46
USGS,11450000,1999-03-03,7.41
USGS,11450000,1999-03-04,7.36
USGS,11450000,1999-03-05,7.33
USGS,11450000,1999-03-06,7.32
USGS,11450000,1999-03-07,7.31
USGS,11450000,1999-03-08,7.36
USGS,11450000,1999-03-09,7.48
USGS,11450000,1999-03-10,7.49
USGS,11450000,1999-03-11,7.45
USGS,11450000,1999-03-12,7.46
USGS,11450000,1999-03-13,7.5
USGS,11450000,1999-03-14,7.57
USGS,11450000,1999-03-15,7.63
USGS,11450000,1999-03-16,7.63
USGS,11450000,1999-03-17,7.58
USGS,11450000,1999-03-18,7.5
USGS,11450000,1999-03-19,7.44
USGS,11450000,1999-03-20,7.45
USGS,11450000,1999-03-21,7.45
USGS,11450000,1999-03-22,7.47
USGS,11450000,1999-03-23,7.5
USGS,11450000,1999-03-24,7.61
USGS,11450000,1999-03-25,7.77
USGS,11450000,1999-03-26,7.79
USGS,11450000,1999-03-27,7.76
USGS,11450000,1999-03-28,7.71
USGS,11450000,1999-03-29,7.62
USGS,11450000,1999-03-30,7.54
USGS,11450000,1999-03-31,7.47
USGS,11450000,1999-04-01,7.45
USGS,11450000,1999-04-02,7.46
USGS,11450000,1999-04-03,7.41
USGS,11450000,1999-04-04,7.45
USGS,11450000,1999-04-05,7.49
USGS,11450000,1999-04-06,7.53
USGS,11450000,1999-04-07,7.52
USGS,11450000,1999-04-08,7.53
USGS,11450000,1999-04-09,7.55
USGS,11450000,1999-04-10,7.6
USGS,11450000,1999-04-11,7.71
USGS,11450000,1999-04-12,7.68
USGS,11450000,1999-04-13,7.63
USGS,11450000,1999-04-14,7.58
USGS,11450000,1999-04-15,7.59
USGS,11450000,1999-04-16,7.61
USGS,11450000,1999-04-17,7.62
USGS,11450000,1999-04-18,7.62
USGS,11450000,1999-04-19,7.61
USGS,11450000,1999-04-20,7.59
USGS,11450000,1999-04-21,7.58
USGS,11450000,1999-04-22,7.61
USGS,11450000,1999-04-23,7.62
USGS,11450000,1999-04-24,7.62
USGS,11450000,1999-04-25,7.63
USGS,11450000,1999-04-26,7.61
USGS,11450000,1999-04-27,7.56
USGS,11450000,1999-04-28,7.58
USGS,11450000,1999-04-29,7.6
USGS,11450000,1999-04-30,7.6
USGS,11450000,1999-05-01,7.57
USGS,11450000,1999-05-02,7.53
USGS,11450000,1999-05-03,7.5
USGS,11450000,1999-05-04,7.49
USGS,11450000,1999-05-05,7.48
USGS,11450000,1999-05-06,7.44
USGS,11450000,1999-05-07,7.39
USGS,11450000,1999-05-08,7.35
USGS,11450000,1999-05-09,7.32
USGS,11450000,1999-05-10,7.28
USGS,11450000,1999-05-11,7.26
USGS,11450000,1999-05-12,7.21
USGS,11450000,1999-05-13,7.16
USGS,11450000,1999-05-14,7.09
USGS,11450000,1999-05-15,7.09
USGS,11450000,1999-05-16,7.04
USGS,11450000,1999-05-17,7.02
USGS,11450000,1999-05-18,6.97
USGS,11450000,1999-05-19,6.95
USGS,11450000,1999-05-20,6.91
USGS,11450000,1999-05-21,6.89
USGS,11450000,1999-05-22,6.86
USGS,11450000,1999-05-23,6.81
USGS,11450000,1999-05-24,6.78
USGS,11450000,1999-05-25,6.76
USGS,11450000,1999-05-26,6.72
USGS,11450000,1999-05-27,6.67
USGS,11450000,1999-05-28,6.61
USGS,11450000,1999-05-29,6.55
USGS,11450000,1999-05-30,6.5
USGS,11450000,1999-05-31,6.46
USGS,11450000,1999-06-01,6.4
USGS,11450000,1999-06-02,6.32
USGS,11450000,1999-06-03,6.34
USGS,11450000,1999-06-04,6.3
USGS,11450000,1999-06-05,6.25
USGS,11450000,1999-06-06,6.2
USGS,11450000,1999-06-07,6.15
USGS,11450000,1999-06-08,6.13
USGS,11450000,1999-06-09,6.1
USGS,11450000,1999-06-10,6.06
USGS,11450000,1999-06-11,6.01
USGS,11450000,1999-06-12,5.97
USGS,11450000,1999-06-13,5.94
USGS,11450000,1999-06-14,5.92
USGS,11450000,1999-06-15,5.87
USGS,11450000,1999-06-16,5.84
USGS,11450000,1999-06-17,5.81
USGS,11450000,1999-06-18,5.76
USGS,11450000,1999-06-19,5.72
USGS,11450000,1999-06-20,5.68
USGS,11450000,1999-06-21,5.65
USGS,11450000,1999-06-22,5.63
USGS,11450000,1999-06-23,5.59
USGS,11450000,1999-06-24,5.52
USGS,11450000,1999-06-25,5.48
USGS,11450000,1999-06-26,5.44
USGS,11450000,1999-06-27,5.4
USGS,11450000,1999-06-28,5.37
USGS,11450000,1999-06-29,5.34
USGS,11450000,1999-06-30,5.31
USGS,11450000,1999-07-01,5.26
USGS,11450000,1999-07-02,5.19
USGS,11450000,1999-07-03,5.09
USGS,11450000,1999-07-04,5.07
USGS,11450000,1999-07-05,5.03
USGS,11450000,1999-07-06,4.98
USGS,11450000,1999-07-07,4.94
USGS,11450000,1999-07-08,4.91
USGS,11450000,1999-07-09,4.87
USGS,11450000,1999-07-10,4.83
USGS,11450000,1999-07-11,4.79
USGS,11450000,1999-07-12,4.76
USGS,11450000,1999-07-13,4.72
USGS,11450000,1999-07-14,4.67
USGS,11450000,1999-07-15,4.63
USGS,11450000,1999-07-16,4.57
USGS,11450000,1999-07-17,4.52
USGS,11450000,1999-07-18,4.48
USGS,11450000,1999-07-19,4.43
USGS,11450000,1999-07-20,4.37
USGS,11450000,1999-07-21,4.33
USGS,11450000,1999-07-22,4.28
USGS,11450000,1999-07-23,4.22
USGS,11450000,1999-07-24,4.16
USGS,11450000,1999-07-25,4.12
USGS,11450000,1999-07-26,4.07
USGS,11450000,1999-07-27,4.03
USGS,11450000,1999-07-28,3.98
USGS,11450000,1999-07-29,3.92
USGS,11450000,1999-07-30,3.88
USGS,11450000,1999-07-31,3.82
USGS,11450000,1999-08-01,3.77
USGS,11450000,1999-08-02,3.72
USGS,11450000,1999-08-03,3.68
USGS,11450000,1999-08-04,3.63
USGS,11450000,1999-08-05,3.57
USGS,11450000,1999-08-06,3.53
USGS,11450000,1999-08-07,3.5
USGS,11450000,1999-08-08,3.45
USGS,11450000,1999-08-09,3.42
USGS,11450000,1999-08-10,3.38
USGS,11450000,1999-08-11,3.34
USGS,11450000,1999-08-12,3.3
USGS,11450000,1999-08-13,3.25
USGS,11450000,1999-08-14,3.21
USGS,11450000,1999-08-15,3.18
USGS,11450000,1999-08-16,3.15
USGS,11450000,1999-08-17,3.12
USGS,11450000,1999-08-18,3.07
USGS,11450000,1999-08-19,3.03
USGS,11450000,1999-08-20,2.99
USGS,11450000,1999-08-21,2.95
USGS,11450000,1999-08-22,2.92
USGS,11450000,1999-08-23,2.88
USGS,11450000,1999-08-24,2.85
USGS,11450000,1999-08-25,2.81
USGS,11450000,1999-08-26,2.78
USGS,11450000,1999-08-27,2.75
USGS,11450000,1999-08-28,2.7
USGS,11450000,1999-08-29,2.65
USGS,11450000,1999-08-30,2.54
USGS,11450000,1999-08-31,2.51
USGS,11450000,1999-09-01,2.47
USGS,11450000,1999-09-02,2.45
USGS,11450000,1999-09-03,2.42
USGS,11450000,1999-09-04,2.4
USGS,11450000,1999-09-05,2.39
USGS,11450000,1999-09-06,2.37
USGS,11450000,1999-09-07,2.35
USGS,11450000,1999-09-08,2.32
USGS,11450000,1999-09-09,2.3
USGS,11450000,1999-09-10,2.27
USGS,11450000,1999-09-11,2.25
USGS,11450000,1999-09-12,2.22
USGS,11450000,1999-09-13,2.2
USGS,11450000,1999-09-14,2.18
USGS,11450000,1999-09-15,2.15
USGS,11450000,1999-09-16,2.12
USGS,11450000,1999-09-17,2.09
USGS,11450000,1999-09-18,2.06
USGS,11450000,1999-09-19,2.03
USGS,11450000,1999-09-20,2
USGS,11450000,1999-09-21,1.99
USGS,11450000,1999-09-22,1.96
USGS,11450000,1999-09-23,1.93
USGS,11450000,1999-09-24,1.91
USGS,11450000,1999-09-25,1.89
USGS,11450000,1999-09-26,1.86
USGS,11450000,1999-09-27,1.84
USGS,11450000,1999-09-28,1.8
USGS,11450000,1999-09-29,1.77
USGS,11450000,1999-09-30,1.74
USGS,11450000,1999-10-01,1.71
USGS,11450000,1999-10-02,1.68
USGS,11450000,1999-10-03,1.65
USGS,11450000,1999-10-04,1.6
USGS,11450000,1999-10-05,1.55
USGS,11450000,1999-10-06,1.52
USGS,11450000,1999-10-07,1.51
USGS,11450000,1999-10-08,1.49
USGS,11450000,1999-10-09,1.47
USGS,11450000,1999-10-10,1.46
USGS,11450000,1999-10-11,1.45
USGS,11450000,1999-10-12,1.44
USGS,11450000,1999-10-13,1.43
USGS,11450000,1999-10-14,1.42
USGS,11450000,1999-10-15,1.42
USGS,11450000,1999-10-16,1.39
USGS,11450000,1999-10-17,1.35
USGS,11450000,1999-10-18,1.34
USGS,11450000,1999-10-19,1.33
USGS,11450000,1999-10-20,1.32
USGS,11450000,1999-10-21,1.31
USGS,11450000,1999-10-22,1.31
USGS,11450000,1999-10-23,1.29
USGS,11450000,1999-10-24,1.28
USGS,11450000,1999-10-25,1.28
USGS,11450000,1999-10-26,1.27
USGS,11450000,1999-10-27,1.27
USGS,11450000,1999-10-28,1.27
USGS,11450000,1999-10-29,1.28
USGS,11450000,1999-10-30,1.28
USGS,11450000,1999-10-31,1.28
USGS,11450000,1999-11-01,1.28
USGS,11450000,1999-11-02,1.27
USGS,11450000,1999-11-03,1.27
USGS,11450000,1999-11-04,1.26
USGS,11450000,1999-11-05,1.26
USGS,11450000,1999-11-06,1.26
USGS,11450000,1999-11-07,1.31
USGS,11450000,1999-11-08,1.3
USGS,11450000,1999-11-09,1.3
USGS,11450000,1999-11-10,1.31
USGS,11450000,1999-11-11,1.31
USGS,11450000,1999-11-12,1.31
USGS,11450000,1999-11-13,1.31
USGS,11450000,1999-11-14,1.3
USGS,11450000,1999-11-15,1.33
USGS,11450000,1999-11-16,1.34
USGS,11450000,1999-11-17,1.36
USGS,11450000,1999-11-18,1.37
USGS,11450000,1999-11-19,1.4
USGS,11450000,1999-11-20,1.37
USGS,11450000,1999-11-21,1.34
USGS,11450000,1999-11-22,1.35
USGS,11450000,1999-11-23,1.35
USGS,11450000,1999-11-24,1.34
USGS,11450000,1999-11-25,1.34
USGS,11450000,1999-11-26,1.34
USGS,11450000,1999-11-27,1.35
USGS,11450000,1999-11-28,1.35
USGS,11450000,1999-11-29,1.34
USGS,11450000,1999-11-30,1.35
USGS,11450000,1999-12-01,1.37
USGS,11450000,1999-12-02,1.35
USGS,11450000,1999-12-03,1.36
USGS,11450000,1999-12-04,1.37
USGS,11450000,1999-12-05,1.36
USGS,11450000,1999-12-06,1.34
USGS,11450000,1999-12-07,1.32
USGS,11450000,1999-12-08,1.34
USGS,11450000,1999-12-09,1.35
USGS,11450000,1999-12-10,1.35
USGS,11450000,1999-12-11,1.35
USGS,11450000,1999-12-12,1.35
USGS,11450000,1999-12-13,1.33
USGS,11450000,1999-12-14,1.34
USGS,11450000,1999-12-15,1.34
USGS,11450000,1999-12-16,1.34
USGS,11450000,1999-12-17,1.34
USGS,11450000,1999-12-18,1.34
USGS,11450000,1999-12-19,1.36
USGS,11450000,1999-12-20,1.34
USGS,11450000,1999-12-21,1.36
USGS,11450000,1999-12-22,1.33
USGS,11450000,1999-12-23,1.33
USGS,11450000,1999-12-24,1.33
USGS,11450000,1999-12-25,1.33
USGS,11450000,1999-12-26,1.33
USGS,11450000,1999-12-27,1.33
USGS,11450000,1999-12-28,1.32
USGS,11450000,1999-12-29,1.32
USGS,11450000,1999-12-30,1.32
USGS,11450000,1999-12-31,1.32
USGS,11450000,2000-01-01,1.3
USGS,11450000,2000-01-02,1.29
USGS,11450000,2000-01-03,1.31
USGS,11450000,2000-01-04,1.31
USGS,11450000,2000-01-05,1.31
USGS,11450000,2000-01-06,1.31
USGS,11450000,2000-01-07,1.31
USGS,11450000,2000-01-08,1.3
USGS,11450000,2000-01-09,1.3
USGS,11450000,2000-01-10,1.3
USGS,11450000,2000-01-11,1.33
USGS,11450000,2000-01-12,1.38
USGS,11450000,2000-01-13,1.4
USGS,11450000,2000-01-14,1.41
USGS,11450000,2000-01-15,1.46
USGS,11450000,2000-01-16,1.51
USGS,11450000,2000-01-17,1.58
USGS,11450000,2000-01-18,1.65
USGS,11450000,2000-01-19,1.72
USGS,11450000,2000-01-20,1.79
USGS,11450000,2000-01-21,1.85
USGS,11450000,2000-01-22,1.91
USGS,11450000,2000-01-23,2
USGS,11450000,2000-01-24,2.09
USGS,11450000,2000-01-25,2.18
USGS,11450000,2000-01-26,2.23
USGS,11450000,2000-01-27,2.27
USGS,11450000,2000-01-28,2.29
USGS,11450000,2000-01-29,2.32
USGS,11450000,2000-01-30,2.39
USGS,11450000,2000-01-31,2.53
USGS,11450000,2000-02-01,2.61
USGS,11450000,2000-02-02,2.68
USGS,11450000,2000-02-03,2.74
USGS,11450000,2000-02-04,2.79
USGS,11450000,2000-02-05,2.88
USGS,11450000,2000-02-06,2.99
USGS,11450000,2000-02-07,3.06
USGS,11450000,2000-02-08,3.1
USGS,11450000,2000-02-09,3.16
USGS,11450000,2000-02-10,3.23
USGS,11450000,2000-02-11,3.31
USGS,11450000,2000-02-12,3.5
USGS,11450000,2000-02-13,3.76
USGS,11450000,2000-02-14,4.2
USGS,11450000,2000-02-15,4.61
USGS,11450000,2000-02-16,4.82
USGS,11450000,2000-02-17,4.95
USGS,11450000,2000-02-18,5.02
USGS,11450000,2000-02-19,5.08
USGS,11450000,2000-02-20,5.18
USGS,11450000,2000-02-21,5.35
USGS,11450000,2000-02-22,5.47
USGS,11450000,2000-02-23,5.77
USGS,11450000,2000-02-24,5.96
USGS,11450000,2000-02-25,6.09
USGS,11450000,2000-02-26,6.19
USGS,11450000,2000-02-27,6.46
USGS,11450000,2000-02-28,6.68
USGS,11450000,2000-02-29,6.83
USGS,11450000,2000-03-01,6.89
USGS,11450000,2000-03-02,6.94
USGS,11450000,2000-03-03,6.97
USGS,11450000,2000-03-04,7.02
USGS,11450000,2000-03-05,7.12
USGS,11450000,2000-03-06,7.2
USGS,11450000,2000-03-07,7.24
USGS,11450000,2000-03-08,7.26
USGS,11450000,2000-03-09,7.32
USGS,11450000,2000-03-10,7.36
USGS,11450000,2000-03-11,7.39
USGS,11450000,2000-03-12,7.42
USGS,11450000,2000-03-13,7.43
USGS,11450000,2000-03-14,7.46
USGS,11450000,2000-03-15,7.47
USGS,11450000,2000-03-16,7.45
USGS,11450000,2000-03-17,7.49
USGS,11450000,2000-03-18,7.49
USGS,11450000,2000-03-19,7.46
USGS,11450000,2000-03-20,7.5
USGS,11450000,2000-03-21,7.52
USGS,11450000,2000-03-22,7.51
USGS,11450000,2000-03-23,7.52
USGS,11450000,2000-03-24,7.52
USGS,11450000,2000-03-25,7.51
USGS,11450000,2000-03-26,7.5
USGS,11450000,2000-03-27,7.48
USGS,11450000,2000-03-28,7.49
USGS,11450000,2000-03-29,7.5
USGS,11450000,2000-03-30,7.5
USGS,11450000,2000-03-31,7.5
USGS,11450000,2000-04-01,7.49
USGS,11450000,2000-04-02,7.5
USGS,11450000,2000-04-03,7.51
USGS,11450000,2000-04-04,7.5
USGS,11450000,2000-04-05,7.5
USGS,11450000,2000-04-06,7.51
USGS,11450000,2000-04-07,7.52
USGS,11450000,2000-04-08,7.5
USGS,11450000,2000-04-09,7.5
USGS,11450000,2000-04-10,7.51
USGS,11450000,2000-04-11,7.51
USGS,11450000,2000-04-12,7.51
USGS,11450000,2000-04-13,7.54
USGS,11450000,2000-04-14,7.56
USGS,11450000,2000-04-15,7.55
USGS,11450000,2000-04-16,7.6
USGS,11450000,2000-04-17,7.66
USGS,11450000,2000-04-18,7.64
USGS,11450000,2000-04-19,7.62
USGS,11450000,2000-04-20,7.6
USGS,11450000,2000-04-21,7.56
USGS,11450000,2000-04-22,7.53
USGS,11450000,2000-04-23,7.54
USGS,11450000,2000-04-24,7.55
USGS,11450000,2000-04-25,7.55
