,id,name,visible,unit,precision,sensor,sensorUID,isCalculated,sensor_location
parameters.13...1,53286,Temp (surface),TRUE,C,2,EXO1,2,FALSE,Riviera
parameters.14...2,53287,Sp Cond (surface),TRUE,uS/cm,1,EXO1,2,FALSE,Riviera
parameters.15...3,53288,ODOSat (surface),TRUE,%,1,EXO1,2,FALSE,Riviera
parameters.16...4,53289,ODO (surface),TRUE,mg/L,2,EXO1,2,FALSE,Riviera
parameters.17...5,53290,Chlorophyll (surface),TRUE,ug/L,2,EXO1,2,FALSE,Riviera
parameters.18...6,53291,Chlorophyll RFU (surface),TRUE,RFU,2,EXO1,2,FALSE,Riviera
parameters.19...7,53292,BGA-PC (surface),TRUE,ug/L,2,EXO1,2,FALSE,Riviera
parameters.20...8,53293,BGA-Phycocyanin RFU (surface),TRUE,RFU,2,EXO1,2,FALSE,Riviera
parameters.13...9,102651,Temperature (lakebed),TRUE,C,2,EXO1,2,FALSE,Oaks
parameters.14...10,102652,Sp Cond (lakebed),TRUE,uS/cm,0,EXO1,2,FALSE,Oaks
parameters.15...11,102653,ODOSat (lakebed),TRUE,%,1,EXO1,2,FALSE,Oaks
parameters.16...12,102654,ODO (lakebed),TRUE,mg/L,2,EXO1,2,FALSE,Oaks
parameters.17...13,102655,pH mV (lakebed),TRUE,,1,EXO1,2,FALSE,Oaks
parameters.18...14,102656,pH (lakebed),TRUE,,2,EXO1,2,FALSE,Oaks
parameters.19...15,102657,Chlorophyll  (lakebed),TRUE,RFU,1,EXO1,2,FALSE,Oaks
parameters.20...16,102658,Phycocyanin  (lakebed),TRUE,RFU,1,EXO1,2,FALSE,Oaks
parameters.21,102659,ORP (lakebed),TRUE,mV,0,EXO1,2,FALSE,Oaks
parameters.22,102660,Temperature (surface),TRUE,C,2,EXO1,3,FALSE,Oaks
parameters.23,102661,Conductivity (surface),TRUE,uS/cm,0,EXO1,3,FALSE,Oaks
parameters.24,102662,Sp Cond (surface),TRUE,uS/cm,0,EXO1,3,FALSE,Oaks
parameters.25,102663,pH mV (surface),TRUE,,1,EXO1,3,FALSE,Oaks
parameters.26,102664,pH (surface),TRUE,,2,EXO1,3,FALSE,Oaks
parameters.27,102665,ORP (surface),TRUE,mV,0,EXO1,3,FALSE,Oaks
parameters.28,102666,ODOSat (surface),TRUE,%,1,EXO1,3,FALSE,Oaks
parameters.29,102667,Chlorophyll  (surface),TRUE,RFU,1,EXO1,3,FALSE,Oaks
parameters.30,102668,Phycocyanin (surface),TRUE,RFU,1,EXO1,3,FALSE,Oaks
